GEOID,NAME,total_pop,black_pop,pct_black,median_income,poverty_rate,low_income,nearest_store_km,store_count_5km,service_area_pct,beauty_access_score,underserved_index,hotspot_flag,hotspot_cluster
10001040204,Census Tract 402.04; Kent County; Delaware,6265,1910,30.486831604150037,97773.0,8.178500331785003,False,13.042377161065044,0,0.0,0.0,0.3039,False,-1
10001040206,Census Tract 402.06; Kent County; Delaware,7807,2909,37.26143204816191,100580.0,1.1014948859166012,False,10.116594012054133,0,0.0,0.0,0.2949,False,-1
10001042203,Census Tract 422.03; Kent County; Delaware,6184,1599,25.857050452781372,87778.0,3.969440292310247,False,10.750405948093947,0,0.0,0.0,0.2598,False,-1
10001042204,Census Tract 422.04; Kent County; Delaware,4416,441,9.986413043478262,108000.0,4.008152173913043,False,12.124594509897339,0,0.0,0.0,0.1971,False,-1
10001042205,Census Tract 422.05; Kent County; Delaware,2739,802,29.28075940124133,55163.0,23.767798466593646,False,13.749724700031988,0,0.0,0.0,0.3628,False,-1
10001042802,Census Tract 428.02; Kent County; Delaware,5746,792,13.783501566306997,77851.0,11.085972850678733,False,21.461677938168766,0,0.0,0.0,0.2725,False,-1
10001042207,Census Tract 422.07; Kent County; Delaware,2606,163,6.254796623177283,101250.0,4.078491727587533,False,13.815470596390304,0,0.0,0.0,0.1871,False,-1
10001041803,Census Tract 418.03; Kent County; Delaware,4288,1349,31.45988805970149,56431.0,28.987873134328357,False,5.969323007588118,0,21.50031359179689,0.0,0.3667,True,0
10001040205,Census Tract 402.05; Kent County; Delaware,4857,1578,32.489190858554664,61992.0,10.08853201564752,False,11.63272894529881,0,0.0,0.0,0.3152,False,-1
10001042206,Census Tract 422.06; Kent County; Delaware,2600,627,24.115384615384617,85625.0,7.961538461538462,False,16.880300120915145,0,0.0,0.0,0.2888,False,-1
10001041804,Census Tract 418.04; Kent County; Delaware,5657,1428,25.24306169347711,81328.0,10.83613222556125,False,6.713568209051258,0,21.431506546932923,0.0,0.2709,False,-1
10001042208,Census Tract 422.08; Kent County; Delaware,4028,961,23.857994041708043,73750.0,12.313803376365442,False,16.76735517107028,0,0.0,0.0,0.3045,False,-1
10001042801,Census Tract 428.01; Kent County; Delaware,1913,113,5.906952430737062,60000.0,7.1154898741105645,False,24.927633777475386,0,0.0,0.0,0.2349,False,-1
10001041101,Census Tract 411.01; Kent County; Delaware,3262,437,13.396689147762109,67174.0,3.290903446134741,False,8.650027334940793,0,0.0,0.0,0.1971,False,-1
10001980000,Census Tract 9800; Kent County; Delaware,64,13,20.3125,,,False,9.191737884876265,0,0.0,0.0,0.2153,False,-1
10001040502,Census Tract 405.02; Kent County; Delaware,2647,746,28.182848507744616,62917.0,12.80695126558368,False,3.6395372672934116,1,63.42843923569136,0.3777861730260672,0.2692,False,-1
10001043202,Census Tract 432.02; Kent County; Delaware,3748,310,8.271077908217716,56098.0,16.42031711905402,False,9.9851375208622,0,1.126536472668161,0.0,0.2317,False,-1
10001040501,Census Tract 405.01; Kent County; Delaware,4777,1574,32.94954992673226,60833.0,16.27956081081081,False,1.8193027501863335,1,88.31510894794057,0.20933640360058617,0.3024,False,-1
