GEOID,NAME,total_pop,black_pop,pct_black,median_income,poverty_rate,low_income,nearest_store_km,store_count_5km,service_area_pct,beauty_access_score,underserved_index,hotspot_flag,hotspot_cluster
37045950702,Census Tract 9507.02; Cleveland County; North Carolina,3906,569,14.567332309267794,68665.0,11.177077955601446,False,1.9158674227748962,1,100.0,0.2560163850486431,0.1215,False,-1
37045950701,Census Tract 9507.01; Cleveland County; North Carolina,4271,1878,43.97096698665418,49556.0,24.51416530086631,False,2.3756319711288705,1,99.99999999999987,0.23413720440177946,0.4492,True,0
37045951503,Census Tract 9515.03; Cleveland County; North Carolina,2463,192,7.795371498172959,56607.0,13.954434499593166,False,13.077698917151569,1,63.61796356346267,0.4060089321965083,0.1363,False,-1
37045951501,Census Tract 9515.01; Cleveland County; North Carolina,5468,662,12.10680321872714,61579.0,7.090743274053808,False,19.809819389772493,0,0.26588829711735323,0.0,0.2258,False,-1
37045951300,Census Tract 9513; Cleveland County; North Carolina,3046,586,19.238345370978333,62880.0,7.977675640183849,False,10.863437452949466,1,92.88843516915303,0.32829940906106364,0.1472,False,-1
37045951200,Census Tract 9512; Cleveland County; North Carolina,5904,1902,32.21544715447154,45313.0,21.697154471544717,False,7.116339468592757,1,99.99999999999999,0.16937669376693767,0.3909,False,-1
37045951400,Census Tract 9514; Cleveland County; North Carolina,5809,1220,21.001893613358583,53000.0,17.95867914532933,False,17.48982095698067,0,8.675390253386565,0.0,0.3832,False,-1
37045951000,Census Tract 9510; Cleveland County; North Carolina,3521,668,18.971882987787563,69250.0,10.74670571010249,False,4.607598897992829,1,99.99999999999993,0.28401022436807727,0.1514,False,-1
37045950900,Census Tract 9509; Cleveland County; North Carolina,2721,2029,74.56817346563763,26420.0,26.679035250463823,True,6.769805850316827,1,100.0,0.3675119441381845,0.7975,True,0
37045951100,Census Tract 9511; Cleveland County; North Carolina,3076,1327,43.1404421326398,31533.0,30.311140849782536,True,6.9252714292651225,1,99.99999999999993,0.32509752925877766,0.6597,True,0
37045950800,Census Tract 9508; Cleveland County; North Carolina,4251,790,18.58386262055987,48145.0,14.893617021276595,False,8.588059762562006,1,99.99999999999991,0.2352387673488591,0.228,False,-1
37045950301,Census Tract 9503.01; Cleveland County; North Carolina,4339,883,20.35031113159714,57886.0,15.464392717215949,False,9.941181345888095,1,91.64342459770752,0.23046784973496195,0.2534,False,-1
37045951602,Census Tract 9516.02; Cleveland County; North Carolina,4252,570,13.405456255879585,44713.0,25.070555032925686,False,4.873081383943784,1,99.9999999999999,0.2351834430856068,0.2858,False,-1
37045950601,Census Tract 9506.01; Cleveland County; North Carolina,4289,579,13.49965026812777,64654.0,14.969640354974311,False,6.532377759686491,1,100.0,0.2331545814875262,0.1874,False,-1
37045951601,Census Tract 9516.01; Cleveland County; North Carolina,4023,1290,32.065622669649514,55461.0,25.652498135719615,False,10.745451967240921,1,88.72482983902049,0.24857071836937608,0.4334,True,0
