GEOID,NAME,total_pop,black_pop,pct_black,median_income,poverty_rate,low_income,nearest_store_km,store_count_5km,service_area_pct,beauty_access_score,underserved_index,hotspot_flag,hotspot_cluster
37063002037,Census Tract 20.37; Durham County; North Carolina,6192,1836,29.651162790697676,87394.0,3.278423772609819,False,1.569197758307059,1,100.0,0.16149870801033592,0.291,False,-1
37063002038,Census Tract 20.38; Durham County; North Carolina,6399,2513,39.27176121268948,92662.0,6.751054852320674,False,2.176628870132954,10,99.99999999999993,1.5627441787779341,0.3416,False,-1
37063001301,Census Tract 13.01; Durham County; North Carolina,1876,1098,58.52878464818764,45446.0,16.52452025586354,False,1.8849716939097936,4,99.99999999999999,2.1321961620469083,0.4893,True,0
37063002300,Census Tract 23; Durham County; North Carolina,2228,1129,50.67324955116697,60227.0,24.410312671420737,False,1.1223316062528672,6,99.99999999999997,2.6929982046678638,0.4726,False,-1
37063001002,Census Tract 10.02; Durham County; North Carolina,5501,1694,30.794401017996726,45032.0,32.66678785675332,False,1.77757466378045,6,100.0,1.0907107798582076,0.4456,False,-1
37063001100,Census Tract 11; Durham County; North Carolina,3191,1959,61.39141335004701,29556.0,32.37341772151899,True,1.1411521708715306,4,99.99999999999997,1.2535255405828893,0.7546,True,0
37063001303,Census Tract 13.03; Durham County; North Carolina,4495,2735,60.84538375973304,49880.0,24.50300508552936,False,2.71442020872095,4,100.0,0.8898776418242492,0.5779,True,0
37063001304,Census Tract 13.04; Durham County; North Carolina,2426,1408,58.037922506183016,41125.0,27.231404958677686,False,3.528773781870601,6,100.0,2.4732069249793898,0.5538,True,0
37063001400,Census Tract 14; Durham County; North Carolina,2984,2158,72.31903485254692,45752.0,34.95308310991957,False,2.5902585079050278,4,100.0,1.3404825737265416,0.6901,True,0
37063001501,Census Tract 15.01; Durham County; North Carolina,3304,641,19.400726392251816,,27.27272727272727,False,0.8781711892570251,11,99.99999999999997,3.3292978208232444,0.3013,False,-1
37063001706,Census Tract 17.06; Durham County; North Carolina,5395,1534,28.433734939759038,61321.0,9.823911028730306,False,1.7676234754608948,7,100.0,1.2974976830398517,0.3005,False,-1
37063001708,Census Tract 17.08; Durham County; North Carolina,4947,3516,71.07337780473014,65481.0,12.896705073782092,False,1.9700150785737363,1,99.99999999999999,0.20214271275520515,0.5766,True,0
37063002008,Census Tract 20.08; Durham County; North Carolina,3767,208,5.521635253517388,201458.0,0.8229360233607645,False,2.034312124341694,15,99.99999999999989,3.981948500132732,0.0735,False,-1
37063002013,Census Tract 20.13; Durham County; North Carolina,4948,1269,25.64672594987874,95399.0,6.345998383185125,False,1.1003384229265438,10,100.0,2.021018593371059,0.2459,False,-1
37063002015,Census Tract 20.15; Durham County; North Carolina,5044,935,18.536875495638384,52641.0,19.542994588093805,False,0.9367609849240293,9,99.99999999999982,1.7842981760507532,0.2837,False,-1
37063000301,Census Tract 3.01; Durham County; North Carolina,2917,745,25.53993829276654,57096.0,15.262976968030252,False,1.3661279053561342,9,99.99999999999996,3.0853616729516626,0.2768,False,-1
37063002029,Census Tract 20.29; Durham County; North Carolina,4146,652,15.726000964785335,74983.0,6.994693680656054,False,0.6899897362694847,5,99.99999999999993,1.20598166907863,0.2071,False,-1
37063001811,Census Tract 18.11; Durham County; North Carolina,6329,3681,58.16084689524411,90221.0,6.432748538011696,False,4.914694626387927,2,55.23782092351537,0.31600568810238583,0.4917,True,0
37063001504,Census Tract 15.04; Durham County; North Carolina,2332,602,25.8147512864494,31576.0,38.4070796460177,True,0.4429990906836997,10,100.0,4.288164665523157,0.5267,True,0
37063002034,Census Tract 20.34; Durham County; North Carolina,6112,1805,29.53206806282723,86552.0,4.49934554973822,False,2.5311440191243695,10,100.0,1.6361256544502618,0.2767,False,-1
37063002036,Census Tract 20.36; Durham County; North Carolina,3218,1386,43.070229956494714,53828.0,7.0540708514605335,False,0.26710595529610803,9,100.0,2.7967681789931635,0.3241,False,-1
37063001712,Census Tract 17.12; Durham County; North Carolina,5204,716,13.758647194465794,104872.0,5.9870866757973,False,2.6042594749436634,5,99.99999999999996,0.9607993850883935,0.2115,False,-1
